"Points:0","Points:1","Points:2"
23.778,43.124,280.51
23.529,39.672,281.55
20.396,40.496,282.47
20.633,44.032,281.4
22.613,42.344,277.8
22.378,38.982,278.8
19.395,39.783,279.68
19.619,43.217,278.66
25.593,-74.559,155.33
25.116,-72.027,152.67
21.07,-73.414,152.57
21.444,-75.905,155.32
24.435,-71.704,157.64
24.028,-69.375,154.75
20.189,-70.726,154.7
20.516,-73.06,157.61
23.425,-69.258,159.95
23.085,-67.132,157.13
19.423,-68.462,157.12
19.694,-70.596,159.94
22.502,-67.057,162.37
22.098,-64.789,159.85
18.623,-66.079,159.9
18.942,-68.365,162.38
3.6779,-75.748,263.46
3.7559,-78.13,260.25
0,-78.284,260.1
0,-75.933,263.32
